Need name,Slug override,Category label,Intro paragraph,Strategy cards,Situation magnets,Feeling magnets,Evidence claim,Plain language summary,Evidence sources
Love/Caring,love-caring,Love/Caring,,"Call a friend | Trust us, they want to hear from you <3 | Nat | Missouri | Connection; Consideration; Belonging; Support; Friendship; Peer Respect; Respect; Closeness; Mutuality; Participation; Non-judgmental Communication
Snuggle a pet | Don't have one? Go get one and make a day of it! | Nat | Missouri | Safety; Nurturing
Cuddle your favorite stuffed animal | Why do we rob ourselves of this freedom as adult? Reclaim the beauty of your inner child. | Nat | Missouri | Closeness
Self holding | Place your hands on the opposite sides of your face and breathe deeply | Nat | Missouri | Safety","Abandoned,Abused,Neglected,Overworked,Unloved,Unwanted","Terrified,Hurt,Bewildered,Sad,Frightened,Lonely,Angry,Frustrated,Scared,Tired,Anxious","Affectionate, reliable bonds support development and stress recovery across the lifespan. This need motivates warmth, protection, responsiveness, and generosity. Caring relationships are a durable pathway to health and meaning.","Humans need to love and be loved – enduring bonds of affection and care are a major source of emotional nourishment and resilience throughout life. From infancy (where a caregiver’s love aids healthy brain and emotional development) to old age (where close loved ones buffer stress and give meaning), caring relationships consistently benefit our well-being. This need for love and caring drives behaviors like warmth (showing affection and kindness), protection (keeping loved ones safe), responsive listening and comfort, and acts of generosity toward those we care about. Studies have repeatedly shown that people embedded in reliable, loving relationships tend to recover faster from illness or stress and often live longer, happier lives than those who lack such bonds. In essence, caring relationships – whether with family, friends, or romantic partners – provide a lifelong foundation for health, stress relief, and a sense of meaning or purpose.","- https://pubmed.ncbi.nlm.nih.gov/16903808/ (Annual Review of Psychology: Gunnar & Quevedo (2007) on sensitive caregiving calibrating stress physiology and emotion regulation) - https://pmc.ncbi.nlm.nih.gov/articles/PMC7945765/ (Gee (2020) review: supportive caregiving shapes corticolimbic development and emotion regulation) - https://pmc.ncbi.nlm.nih.gov/articles/PMC3869040/ (Doom & Gunnar (2013) review: caregiving quality influences HPA axis and vagal regulation) - https://longevity.stanford.edu/wp-content/uploads/2018/06/Sightlines-SR-Social-Engagement-.pdf (Stanford Center on Longevity Sightlines report: strong loving relationships support health, stress reduction, and life satisfaction)"
Nurturing,nurturing,Love/Caring,,"Call a parent | If you have a parent you trust, consider calling them. It's awkward at first but I like to ask ""will you still love me if x..."" and then I share the anxiety inducing thought I'm struggling with. Even though you both know what their answer is, let them say it. Let yourself hear it. I promise they will love saying it, give them a chance to. | Nat | Missouri | Support; Closeness; Non-judgmental Communication
Snuggle a pet | Don't have one? Go get one and make a day of it! | Nat | Missouri | Love/Caring; Safety
Tend to a plant | Water a plant. Research how to care for your specific plant. Don't have a plant? Do you want one? Consider making an event of getting one. | Nat | Missouri | Need for all living things to flourish","Abandoned,Abused","Terrified,Hurt,Bewildered,Sad,Frightened,Lonely,Angry,Frustrated","Providing and receiving care maintains the capacity of individuals and communities. This need motivates offering support, inviting rest, and resourcing recovery. Nurturing replenishes systems so they remain workable over time.","Nurturing refers to the acts of caring for others (and allowing oneself to be cared for) that keep individuals and communities healthy and functional. Just as a caregiver nourishes a child, people of all ages need periods of support, rest, and recovery to stay at their best. This need for nurturing drives behaviors like offering help or comfort to those who are tired or struggling, encouraging breaks and rest periods, and supplying resources (emotional or material) to aid someone’s recovery from stress or illness. In a broader sense, a community that values nurturing will have structures (like supportive friendships, mentorship, healthcare services) that “recharge” its members regularly. Research on resilience underscores that those who have strong nurturing support systems (people who care for them, opportunities to recuperate) can handle difficulties without burning out. Providing consistent care ensures that both individuals and the larger group don’t get depleted – it replenishes energy and morale so that life or work remains sustainable over time.",- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2921311/ (review describing how nurturing social support buffers stress responses and builds resilience over time) - https://www.cdc.gov/pcd/issues/2021/21_0080.htm (community health worker-led community–clinical linkage improved emotional well-being during chronic disease management)
Connection,connection,Community/Belonging,,"Call a friend | Trust us, they want to hear from you <3 | Nat | Missouri | Love/Caring; Consideration; Belonging; Support; Friendship; Peer Respect; Respect; Closeness; Mutuality; Participation; Non-judgmental Communication
Play a social video game | Some games involve other human interactions, corporatize games are sometimes called “PVE” (player vs environment) but other games that have compelling fictional characters could also be nice. Similar to reading a book you can build relationships with the characters and find connection in relating to their experience. | Nat | Missouri | Belonging; Participation
Read a character driven novel | When we read a book the world and it’s inhabitants can feel especially personal. We can build very powerful connections this way and can go a long way in helping us feel less alone in the world. It’s okay for those relationships to mean so much to us, that’s why the author worked so hard on them <3 | Nat | Missouri | Belonging
One kind text | Send “Thinking of you—no need to reply.” to someone you trust. | placeholder |  | Mutuality
Specific thank-you | Send a short note naming one action someone did and how it supported you. | placeholder |  | Appreciation; Recognition","Abandoned,(Not) Accepted,Disliked,Ignored,Left out,Manipulated,Neglected,Rejected,Trampled,Unloved","Terrified,Hurt,Bewildered,Sad,Frightened,Lonely,Upset,Scared,Embarrassed,Anxious,Angry,Powerless,Thwarted,Frustrated,Defiant,Overwhelmed","As highly social creatures, humans thrive on close relationships that provide mutual care. This need drives us to spend meaningful time with others, share experiences, and cultivate trust and empathy. When we foster genuine connection, we gain emotional support and joy in companionship, and we build resilience through having others to lean on during difficult times.","Forming strong social connections has profound benefits for both mental and physical health. Extensive research indicates that the quality and quantity of one’s social relationships are linked not only to psychological well-being but also to longevity and disease risk. In a large meta-analysis of 148 studies, individuals with richer social connections had about a 50% greater likelihood of survival over the study periods than those who were more isolated (Holt-Lunstad et al., 2010). In fact, the protective effect of social connection on mortality was found to be comparable to well-known health factors like not smoking and maintaining a healthy weight. Strong interpersonal connection provides emotional support, buffers stress, and contributes to greater life satisfaction, whereas lack of connection (loneliness) is associated with higher risks of depression and physical illness.",- https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1000316 (Holt-Lunstad et al. (2010) meta-analysis linking strong social connection to survival)
Belonging,belonging,Community/Belonging,,"Call a friend | Trust us, they want to hear from you <3 | Nat | Missouri | Love/Caring; Connection; Consideration; Support; Friendship; Peer Respect; Respect; Closeness; Mutuality; Participation; Non-judgmental Communication
Listen to music | A lot of variety available to you here. Could benefit from calming music or raging music. You do you ;) | Nat | Missouri | Peace; Self expression; To be seen; Understanding; Serenity; Calm; Empowerment; Genuineness; Honesty
Play a video game | There is such a wide diversity of video games out there. Calming exploratory games, puzzle games, combat, story, single or multiplayer, etc. Once I get in touch with the need that is alive in me it’s fun to look for a game or game genre that might tend specifically to that. | Nat | Missouri | Acknowledgement; Freedom; Inclusion; Community; Contribution; Control; Choice; Clarity; Causality; Act Freely; Need to matter; Friendship; Relaxation; Authenticity; Autonomy; Rest; Mattering; Beauty; To be seen; To be heard; Do things at my own pace and in my own way; Accomplishment; Growth
Read a character driven novel | When we read a book the world and it’s inhabitants can feel especially personal. We can build very powerful connections this way and can go a long way in helping us feel less alone in the world. It’s okay for those relationships to mean so much to us, that’s why the author worked so hard on them <3 | Nat | Missouri | Connection
Play a social video game | Some games involve other human interactions, corporatize games are sometimes called “PVE” (player vs environment) but other games that have compelling fictional characters could also be nice. Similar to reading a book you can build relationships with the characters and find connection in relating to their experience. | Nat | Missouri | Connection; Participation
Read a poem you like aloud | Try a search online like poets.org. Search a key word related to what you’re experiencing right now. Find a poem you’re relating to and in the privacy of your room or car or closet (wherever you feel comfortable) and read the poem aloud to yourself. Let it gives you words in a time when you have none. Experience the validation that this artist understands also how you might be feeling right now and sees it as valid too. | Nat | Missouri | To be heard; Acknowledgement; To be seen; Need to matter; Serenity; Beauty","Abandoned,(Not) Accepted,Ignored,Invisible,Isolated,Left out,Rejected,Unwanted","Terrified,Hurt,Bewildered,Sad,Frightened,Lonely,Upset,Scared,Embarrassed,Angry,Afraid,Anxious,Defiant,Frustrated","Humans evolved in cooperative groups where being part of the tribe meant safety and support. This need motivates us to seek acceptance in communities and relationships that embrace us as we are. Valuing belonging provides a secure sense of identity and a social safety net, which increases psychological security and resilience under stress.","Psychologists consider the need to belong a fundamental human motivation. Research shows that feeling part of a group or community is critical for mental health and even physical survival. Notably, a seminal review concluded that social belonging is as essential to long-term health as food and shelter, with a lack of belonging linked to adverse outcomes such as higher risks of depression and early mortality (Baumeister & Leary 1995). In short, when people experience true belonging, they gain emotional support and stability that buffer them against life’s challenges.",- https://pmc.ncbi.nlm.nih.gov/articles/PMC8095671/ (Review summarizing belonging as vital for health and longevity)
Support,support,Sustenance/Health,,"Call a friend | Trust us, they want to hear from you <3 | Nat | Missouri | Love/Caring; Connection; Consideration; Belonging; Friendship; Peer Respect; Respect; Closeness; Mutuality; Participation; Non-judgmental Communication
Call a parent | If you have a parent you trust, consider calling them. It's awkward at first but I like to ask ""will you still love me if x..."" and then I share the anxiety inducing thought I'm struggling with. Even though you both know what their answer is, let them say it. Let yourself hear it. I promise they will love saying it, give them a chance to. | Nat | Missouri | Nurturing; Closeness; Non-judgmental Communication
Floor starfish | Lay flat, arms and legs wide, and let the floor hold you for one minute. | placeholder |  | Safety; Rest
Pillow nest | Create a quick cushion “nest” behind your back or under knees. | placeholder |  | Rest
Name support options | List three people or places you could ask for support when ready. | placeholder |  | Safety; Choice
Name one help to ask | Write a concrete, doable request you could ask someone this week. | placeholder |  | Mutuality; Contribution","Abandoned,Abused,Unsupported","Terrified,Hurt,Bewildered,Sad,Frightened,Lonely,Angry,Frustrated,Resentful","No one survives alone; humans rely on each other especially in times of adversity. This need compels us to seek help, comfort, and collaboration when we face challenges or stress. Offering and receiving support strengthens bonds and confidence, allowing individuals and groups to recover from difficulties more effectively and to know that help will be there when it’s needed.","Social support from others is a well-documented protective factor for health. Numerous studies show that people who perceive strong emotional and practical support suffer less psychological distress and even have better physical health outcomes. For example, having supportive relationships is associated with lower rates of depression and anxiety and can improve recovery from illness (empirical review in Frontiers in Psychology, 2024). Social support helps by buffering the impact of stress: individuals who feel cared for and understood tend to cope with hardships more effectively than those who lack support. On the other hand, loneliness or a lack of social and emotional support has been linked to a higher risk of numerous health problems, including heart disease, cognitive decline, and premature mortality (CDC report, 2024). In summary, access to caring support networks bolsters mental well-being, resilience, and even longevity, underscoring why the need for support is so fundamental.",- https://www.cdc.gov/mmwr/volumes/73/wr/mm7324a1.htm (CDC 2024 report: loneliness and isolation elevate health risks) - https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1330720/full (2024 Frontiers in Psychology review: social support buffers stress and illness)
Consideration,consideration,Empathy/Understanding,,"Call a friend | Trust us, they want to hear from you <3 | Nat | Missouri | Love/Caring; Connection; Belonging; Support; Friendship; Peer Respect; Respect; Closeness; Mutuality; Participation; Non-judgmental Communication
Volunteering / Acts of Kindness | Tend to the life in others. Looks for ways that seem like trustworthy strategies to truly make life more wonderful for others. Sometimes we find that serving life in others turns out to serve life in us as well. Be careful to truly hear and identify what someone is needing before you try to do something you think they'd enjoy as it can turn out to be especially discouraging to have tried to make life wonderful for someone only to realize they were needing something else altogether. Make space for them to share their needs and make a clear request or seek out volunteer work that are confident really is doing good work. | Nat | Missouri | 
Ask for a pause | Say: “Could we take a 5-minute pause and return at :15?” | placeholder |  | Mutuality; Space
Ask for channel shift | Say: “Could we move this to text so I can think?” | placeholder |  | Autonomy; Clarity
Three breaths before reply | Take three breaths before sending your next message. | placeholder |  | Peace","Abused,Bullied,Dumped on,Harassed,Insulted,Interrupted,Neglected,Overworked,Pressured,Provoked,Ripped off / Screwed,Taken for granted,Trampled,Unappreciated,Unheard,Used","Angry,Frustrated,Frightened,Scared,Pressured,Overwhelmed,Embarrassed,Resentful,Hurt,Lonely,Tired,Anxious,Hostile,Antagonistic,Resentment,Disappointed,Sad","Feeling thoughtfully regarded by others reassures us that we matter. This need inspires courteous communication, attentive listening, and taking others’ feelings into account. When people treat each other with consideration, it builds mutual respect and trust, reducing friction in groups and helping everyone feel valued.","Consideration (Respect) — Being respected and valued by those around us is not just pleasant but crucial for our well-being. Psychological research has found that feeling respected correlates with higher satisfaction, motivation, and self-esteem. In one analysis of workplace factors, respect was identified as the top driver of job satisfaction and engagement—employees who felt respected by peers and leaders were more productive and less likely to quit (SHRM study, discussed in Psychology Today, 2024). Beyond the workplace, feeling that others appreciate and admire you significantly improves happiness. Notably, a study in the journal Psychological Science found that feeling respected and valued had a stronger impact on people’s happiness than their income level (as summarized by Anderson et al. 2012). In essence, when our need for consideration is met, we experience greater well-being and social connection, whereas being treated with indifference or disrespect can harm trust and mental health.",- https://www.theatlantic.com/health/archive/2012/06/why-money-cant-buy-happiness-feeling-respected-matters-more/259032/ (Psychological Science coverage: feeling respected boosts happiness more than income)
Need for all living things to flourish,need-for-all-living-things-to-flourish,Meaning/Contribution,,"Tend to a plant | Water a plant. Research how to care for your specific plant. Don't have a plant? Do you want one? Consider making an event of getting one. | Nat | Missouri | Nurturing
Share your strategies! | No one likes unsolicited advise (unfortunately), but you can share your strategies here for others to find when they are looking for them ;)
It would make our lives so much more wonderful if you did! | Nat | Missouri | Contribution",Abused,"Angry,Frustrated,Frightened","Concern that extends beyond the self supports sustainable systems. This need motivates stewardship, protection of vulnerable beings, and choices oriented toward long-term viability. Attending to broad flourishing links personal meaning with planetary health.","Humans can feel a profound need to care about the well-being of all living things (not just ourselves or our immediate family). This expansive concern – often encompassing other people, future generations, animals, and the environment – encourages behaviors like environmental stewardship (taking care of nature), protecting those who are vulnerable, and making choices with long-term sustainability in mind. Psychologically, contributing to the greater good or the “flourishing” of a broad community can give individuals a strong sense of purpose and fulfillment. For example, studies show that volunteers in conservation or social justice efforts often report increased happiness and lower stress, as their altruistic actions feed back into their own well-being. Moreover, when many people adopt this ethos of caring beyond themselves, societies become more sustainable and resilient (e.g., communities are healthier and ecosystems more balanced). In essence, nurturing a concern for the flourishing of all life connects personal meaning with the health of our planet and society, creating a virtuous cycle between individual purpose and collective well-being.",- https://apps.who.int/iris/handle/10665/107481 (WHO summary by Wallerstein: empowering communities to care for all members yields better collective outcomes) - https://www.apa.org/pubs/journals/releases/bul-bul0000298.pdf (Hui et al. (2020) Psychological Bulletin meta-analysis: prosocial behavior reliably improves helpers’ well-being)
Inclusion,inclusion,Community/Belonging,,"Try Meetup | Meetup is a website that tries to connect you to people with similar interests. Worth a shot? | Nat | Missouri | Community; Participation
Play a video game | There is such a wide diversity of video games out there. Calming exploratory games, puzzle games, combat, story, single or multiplayer, etc. Once I get in touch with the need that is alive in me it’s fun to look for a game or game genre that might tend specifically to that. | Nat | Missouri | Acknowledgement; Freedom; Belonging; Community; Contribution; Control; Choice; Clarity; Causality; Act Freely; Need to matter; Friendship; Relaxation; Authenticity; Autonomy; Rest; Mattering; Beauty; To be seen; To be heard; Do things at my own pace and in my own way; Accomplishment; Growth","(Not) Accepted,Discounted/Diminished,Disliked,Ignored,Invisible,Isolated,Left out,Neglected,Rejected,Unwanted","Upset,Scared,Lonely,Hurt,Angry,Embarrassed,Frustrated,Sad,Afraid,Anxious,Defiant,Jealous","Exclusion carries measurable psychological and physiological costs; inclusive norms counteract those risks. This need motivates widening participation, adjusting access, and designing for difference. Inclusion increases creativity and collective intelligence.","Being excluded or marginalized isn’t just emotionally painful – it’s also linked to real psychological and even physical health harms (for example, chronic social isolation can raise stress hormones and weaken the immune system). By contrast, fostering inclusion – ensuring everyone feels they belong and can participate fully – helps to eliminate those risks. The need for inclusion drives efforts to open opportunities to a broader range of people, adapt environments to be accessible, and consciously embrace differences rather than treat them as obstacles. Research confirms that inclusive groups are more innovative and intelligent collectively: for instance, diverse teams only reach their highest creativity when the environment is truly inclusive and every member’s contributions are valued. Moreover, inclusive norms (where no one is left out due to who they are) create a sense of psychological safety that benefits all. In sum, inclusion not only prevents the personal damage of exclusion but actively improves group performance and creativity by leveraging everyone’s talents and perspectives.",- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5729577/ (review noting loneliness and social exclusion can harm immune function and mental health; inclusive practices improve outcomes) - https://www.nature.com/articles/s41598-023-39922-9 (2023 Scientific Reports study: diversity with inclusion significantly boosts team creativity and collective intelligence)
Community,community,Community/Belonging,,"Try Meetup | Meetup is a website that tries to connect you to people with similar interests. Worth a shot? | Nat | Missouri | Inclusion; Participation
Play a video game | There is such a wide diversity of video games out there. Calming exploratory games, puzzle games, combat, story, single or multiplayer, etc. Once I get in touch with the need that is alive in me it’s fun to look for a game or game genre that might tend specifically to that. | Nat | Missouri | Acknowledgement; Freedom; Belonging; Inclusion; Contribution; Control; Choice; Clarity; Causality; Act Freely; Need to matter; Friendship; Relaxation; Authenticity; Autonomy; Rest; Mattering; Beauty; To be seen; To be heard; Do things at my own pace and in my own way; Accomplishment; Growth
Kind comment online | Leave a brief, sincere encouragement on a post. | placeholder |  | Contribution","(Not) Accepted,Ignored,Invisible,Isolated,Left out,Neglected,Trampled","Upset,Scared,Lonely,Hurt,Sad,Embarrassed,Angry,Afraid,Anxious,Frustrated,Overwhelmed","Cooperative groups have been the primary context of human survival and culture. This need motivates joining, contributing, and maintaining shared identity and mutual aid. Healthy community distributes risk and multiplies capacity.","Throughout evolutionary history, humans survived and thrived by banding together in cooperative communities – living in a group afforded protection, division of labor, and cultural growth. Reflecting this legacy, people have a fundamental need for community: we’re driven to join with others, contribute to group efforts, and uphold a shared identity that fosters belonging. In a well-functioning community, members help each other, which spreads out risks (for example, if one person falters, others can support them) and vastly increases the group’s overall capabilities (many hands and minds working together can achieve more than one alone). Research in social and evolutionary psychology underscores that strong social networks and communal ties improve individuals’ health and resilience. In short, a healthy community acts as a safety net and force multiplier, explaining why humans instinctively seek and value group belonging and mutual aid.","- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6232274/ (anthropological perspective on humans as ultra-social, surviving via community cooperation) - https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8577769/ (public health analysis showing mutual aid and strong community ties improve resilience and wellbeing)"
Safety,safety,Safety/Security,,"Crunch the numbers | This isn't for everyone I know, but I like to review my budget. I made a google sheet of my expenses vs my income. Having a clear plan really does calm my nerves. | Nat | Missouri | Clarity; Accomplishment; Commitment; Security
Stare off | Sit or lay down and just notice everything your body is feeling. I like to start with my toes and work my way up to my forehead while I'm just staring off. Reminding myself where I am in the world. | Nat | Missouri | Peace; Rest
Self holding | Place your hands on the opposite sides of your face and breathe deeply | Nat | Missouri | Love/Caring
Snuggle a pet | Don't have one? Go get one and make a day of it! | Nat | Missouri | Love/Caring; Nurturing
Road trip | Long or short it doesn't matter. Drive around the block in silence or with music. Maybe plan a trip somewhere. | Nat | Missouri | Freedom; Act Freely; Choose Freely; Autonomy; Control; Choice; Do things at my own pace and in my own way; Privacy
Watch a comfort show | Try to make space to watch a tv show or movie that feels something like home for you. | Nat | Missouri | Security
Back to wall lean | Press your spine to a wall and breathe into your back for 5 breaths. | placeholder |  | 
Butterfly taps | Cross arms over chest and tap alternately left/right for 60 seconds. | placeholder |  | Peace
Hand on heart breaths | Place a palm on your chest; inhale for 4, exhale for 6, five times. | placeholder |  | Peace
Floor starfish | Lay flat, arms and legs wide, and let the floor hold you for one minute. | placeholder |  | Rest; Support
5-4-3-2-1 check | Name 5 things you see, 4 feel, 3 hear, 2 smell, 1 taste. | placeholder |  | Clarity
Feel your feet | Place both feet flat; press toes, heels, edges; notice contact. | placeholder |  | 
Wrap in a blanket | Wrap shoulders and torso; notice warmth and weight. | placeholder |  | Rest
Name support options | List three people or places you could ask for support when ready. | placeholder |  | Support; Choice","Attacked,Bullied,Intimidated,Threatened,Victimized,Violated,Wronged","Scared,Angry,Pressured,Anxiety,Frightened,Alarmed,Agitated,Defiant,Helpless,Sad,Hurt,Resentful,Irritated","Threat detection and protection are conserved across species and remain foundational for human functioning. This need motivates building stable environments, establishing boundaries, and choosing trustworthy relationships. With safety present, exploration and learning become viable.","The need for safety is deeply ingrained – across virtually all animals including humans, a sense of security (knowing one is not in immediate danger) is the foundation that allows normal functioning and growth. This need drives us to seek or create stable, secure environments: we set up physical safety (shelter, locks, safe neighborhoods), personal boundaries (so we won’t be harmed by others), and we gravitate towards people we trust. When we feel safe, our brains can devote resources to exploration, play, and learning new things; if we feel unsafe, those higher pursuits shut down in favor of focusing on survival. Psychologists note that children, for instance, only freely explore and learn when they feel securely attached and safe from harm. Similarly, adults in a workplace are most innovative when the climate is psychologically safe (no fear of humiliation or attack). In sum, safety is the platform upon which we build everything else – ensuring safety first makes it possible for individuals to venture out, take reasonable risks, and develop.","- https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01143/full (organizational research demonstrating that psychological safety enables learning, exploration, and innovation) - https://pmc.ncbi.nlm.nih.gov/articles/PMC7213777/ (study: perception of safety vs. threat alters cognitive processing and willingness to explore novel environments)"
